5,2019-11-28 03:00:00,Stade Pierre Mauroy,LOSC,Ajax,Group H,0 - 2
6,2019-12-11 00:55:00,Stadio San Paolo,Napoli,Genk,Group E,4 - 0
6,2019-12-11 00:55:00,Stadion Salzburg,Salzburg,Liverpool,Group E,0 - 2
6,2019-12-11 03:00:00,BVB Stadion Dortmund,Dortmund,Slavia Praha,Group F,2 - 1
6,2019-12-11 03:00:00,Stadio San Siro,Internazionale,Barcelona,Group F,1 - 2
6,2019-12-11 03:00:00,OL Stadium,Lyon,Leipzig,Group G,2 - 2
6,2019-12-11 03:00:00,Estádio do Sport Lisboa e Benfica,Benfica,Zenit,Group G,3 - 0
6,2019-12-11 03:00:00,Stamford Bridge,Chelsea,LOSC,Group H,2 - 1
6,2019-12-11 03:00:00,Johan Cruijff ArenA,Ajax,Valencia,Group H,0 - 1
6,2019-12-12 00:55:00,Stadion Maksimir,Dinamo Zagreb,Man. City,Group C,1 - 4
6,2019-12-12 00:55:00,OSK Metalist Stadion,Shakhtar Donetsk,Atalanta,Group C,0 - 3
6,2019-12-12 03:00:00,Parc des Princes,Paris,Galatasaray,Group A,5 - 0
6,2019-12-12 03:00:00,Jan Breydelstadion,Club Brugge,Real Madrid,Group A,1 - 3
6,2019-12-12 03:00:00,Football Arena Munich,Bayern,Tottenham,Group B,3 - 1
6,2019-12-12 03:00:00,Stadio Georgios Karaiskakis,Olympiacos,Crvena zvezda,Group B,1 - 0
6,2019-12-12 03:00:00,BayArena,Leverkusen,Juventus,Group D,0 - 2
6,2019-12-12 03:00:00,Estadio Metropolitano,Atlético,Lokomotiv Moskva,Group D,2 - 0
R16 Game 1,2020-02-19 03:00:00,Estadio Metropolitano,Atlético,Liverpool,NULL,NULL
R16 Game 1,2020-02-19 03:00:00,BVB Stadion Dortmund,Dortmund,Paris,NULL,NULL
R16 Game 1,2020-02-20 03:00:00,Stadio San Siro,Atalanta,Valencia,NULL,NULL
R16 Game 1,2020-02-20 03:00:00,Tottenham Hotspur Stadium,Tottenham,Leipzig,NULL,NULL
